season,height_in,position_group,count,minutes
2019,80.0,Forward,3.0,2921.168333333333
2019,80.0,Forward-Guard,1.0,2317.74
2019,81.0,Forward,1.0,1293.75
2019,82.0,Center-Forward,1.0,1109.8
2019,82.0,Forward,1.0,1567.495
2019,82.0,Forward-Center,1.0,1514.6883333333333
2019,83.0,Forward-Center,1.0,446.18
2019,84.0,Center,2.0,2948.881666666666
2019,84.0,Center-Forward,1.0,1359.5083333333334
2020,73.0,Guard,1.0,1823.9683333333328
2020,74.0,Guard,1.0,2074.3233333333333
2020,76.0,Guard,2.0,2947.8900000000003
2020,77.0,Guard,2.0,2098.883333333333
2020,77.0,Guard-Forward,3.0,2776.741666666667
2020,78.0,Forward,2.0,2556.49
2020,78.0,Forward-Guard,2.0,2276.9066666666668
2020,78.0,Guard-Forward,2.0,1867.7266666666665
2020,79.0,Forward,2.0,2802.215
2020,79.0,Forward-Guard,2.0,3568.68
2020,80.0,Forward,2.0,2744.0516666666667
2020,81.0,Forward,1.0,753.7266666666667
2020,82.0,Forward-Center,1.0,609.0533333333333
2020,83.0,Center-Forward,1.0,471.2916666666667
2020,84.0,Center-Forward,1.0,1079.715
2021,73.0,Guard,3.0,3099.546666666667
2021,74.0,Guard,1.0,780.595
2021,76.0,Forward-Guard,1.0,2173.235
2021,76.0,Guard,3.0,4474.691666666667
2021,77.0,Guard,1.0,1745.6766666666667
2021,77.0,Guard-Forward,1.0,668.7316666666667
2021,78.0,Forward,1.0,1983.3566666666663
2021,78.0,Guard,2.0,1963.5966666666664
2021,79.0,Guard,1.0,1468.5733333333333
2021,80.0,Forward-Center,1.0,1454.8283333333334
2021,80.0,Guard-Forward,1.0,1909.0166666666669
2021,81.0,Forward,2.0,2193.863333333333
2021,82.0,Forward-Center,2.0,998.4866666666668
2021,84.0,Forward,1.0,1089.915
2022,72.0,Guard,1.0,2075.825
2022,74.0,Guard,2.0,1682.0699999999997
2022,75.0,Guard,1.0,1176.06
2022,76.0,Guard,5.0,7252.508333333333
2022,77.0,Guard,5.0,5359.596666666666
2022,78.0,Forward,2.0,2184.315
2022,78.0,Guard,1.0,2088.055
2022,79.0,Forward,2.0,3322.3783333333336
2022,79.0,Guard,1.0,1700.3516666666667
2022,80.0,Forward,1.0,541.045
2022,80.0,Forward-Guard,1.0,2617.2883333333334
2022,81.0,Forward,2.0,2433.575
2022,81.0,Forward-Center,1.0,407.00166666666667
2022,82.0,Center,2.0,945.7133333333334
2022,82.0,Forward,1.0,2429.0466666666666
2022,83.0,Center,2.0,3820.33
2023,75.0,Guard,2.0,3012.7066666666665
2023,76.0,Forward,2.0,2808.0983333333334
2023,76.0,Guard,2.0,1091.63
2023,76.0,Guard-Forward,1.0,2073.5316666666668
2023,77.0,Guard,2.0,2291.028333333333
2023,77.0,Guard-Forward,2.0,4497.971666666666
2023,78.0,Forward,1.0,1401.435
2023,78.0,Guard,1.0,786.9966666666667
2023,79.0,Forward,2.0,1115.6683333333333
2023,80.0,Forward,3.0,5606.593333333333
2023,80.0,Guard,1.0,812.19
2023,81.0,Forward,2.0,1482.868333333333
2023,82.0,Center,1.0,1670.145
2023,82.0,Forward,1.0,2429.7233333333334
2023,83.0,Forward,1.0,2450.5466666666666
2023,85.0,Center,1.0,827.975
2023,86.0,Center,1.0,1703.2066666666667
2024,73.0,Guard,1.0,1351.11
2024,75.0,Guard,2.0,3457.315
2024,76.0,Guard,2.0,3990.83
2024,78.0,Forward,2.0,1202.8833333333334
2024,78.0,Guard,3.0,3499.7833333333333
2024,79.0,Forward,4.0,4798.918333333333
2024,79.0,Guard,1.0,1715.25
2024,79.0,Guard-Forward,3.0,3604.561666666667
2024,80.0,Forward,1.0,1348.2716666666668
2024,81.0,Forward,1.0,1130.4516666666666
2024,82.0,Forward-Center,1.0,369.85833333333335
2024,85.0,Center,1.0,1294.2816666666668
2024,88.0,Forward-Center,1.0,2106.235
2025,73.0,Guard,1.0,1466.825
2025,74.0,Guard,1.0,654.3516666666667
2025,75.0,Guard,1.0,591.7916666666666
2025,76.0,Guard,4.0,5997.086666666666
2025,77.0,Guard,1.0,781.9466666666667
2025,78.0,Forward,1.0,1493.795
2025,78.0,Guard,2.0,2545.91
2025,78.0,Guard-Forward,1.0,452.96
2025,79.0,Forward,2.0,3453.898333333333
2025,80.0,Forward,4.0,6785.4766666666665
2025,82.0,Forward,2.0,2148.903333333333
2025,83.0,Center,2.0,3477.33
2025,83.0,Forward,1.0,1045.545
2025,84.0,Center,3.0,3922.4716666666654
2025,86.0,Center,1.0,1323.6433333333334
2025,87.0,Center,1.0,1415.765
2026,73.0,Guard,2.0,417.0
2026,74.0,Guard,1.0,8.0
2026,75.0,Guard,5.0,2046.0
2026,76.0,Guard,4.0,857.0
2026,76.0,Guard-Forward,1.0,1031.0
2026,77.0,Forward-Guard,1.0,908.0
2026,77.0,Guard,7.0,3014.0
2026,77.0,Guard-Forward,1.0,437.0
2026,78.0,Forward-Guard,1.0,162.0
2026,78.0,Guard,1.0,203.0
2026,78.0,Guard-Forward,3.0,1763.0
2026,79.0,Forward,1.0,545.0
2026,79.0,Guard,1.0,460.0
2026,79.0,Guard-Forward,3.0,612.0
2026,80.0,Forward,1.0,6.0
2026,80.0,Forward-Center,1.0,36.0
2026,80.0,Guard,2.0,1231.0
2026,81.0,Forward,2.0,487.0
2026,81.0,Forward-Center,2.0,1076.0
2026,81.0,Forward-Guard,1.0,1212.0
2026,81.0,Guard-Forward,1.0,715.0
2026,82.0,Forward,1.0,299.0
2026,82.0,Forward-Center,1.0,40.0
2026,83.0,Center,1.0,53.0
2026,83.0,Forward,2.0,189.0
2026,83.0,Forward-Center,1.0,370.0
2026,85.0,Center,3.0,892.0
2026,85.0,Forward,1.0,641.0
