player,rookie_season,minutes,usg_pct,pts_per_100,poss_est
Evan Turner,2011,1797.4016666666666,,85.09036144578313,664.0
Derrick Favors,2011,1535.7216666666666,,93.6533595726736,569.12
Wesley Johnson,2011,2069.37,,86.7299505798307,817.48
DeMarcus Cousins,2011,2309.4266666666667,,78.88852078847108,1448.88
Ekpe Udoh,2011,1029.513333333333,,79.15213308290852,298.15999999999997
Greg Monroe,2011,2221.863333333333,,102.38302977423929,733.52
Al-Farouq Aminu,2011,1451.835,,81.40943423115291,561.36
Xavier Henry,2011,527.4316666666666,,84.23524606902185,195.88
Ed Davis,2011,1601.753333333333,,104.96103243107349,477.32
Larry Sanders,2011,872.1616666666666,,79.26829268292683,328.0
Kevin Séraphin,2011,634.6283333333333,,75.99684168969601,202.64
Eric Bledsoe,2011,1840.5333333333333,,73.52542923685209,738.52
Trevor Booker,2011,1063.0916666666667,,103.14810398282853,335.44
Quincy Pondexter,2011,733.5716666666667,,89.11642017444065,210.96
Landry Fields,2011,2541.3283333333334,,103.01416606348877,773.6800000000001
Kyrie Irving,2012,1557.8516666666667,,95.04248721356369,993.24
Derrick Williams,2012,1417.685,,88.22639225181598,660.8
Enes Freedom,2012,874.435,,90.42236763831053,336.2
Tristan Thompson,2012,1423.753333333333,,81.31954961480213,607.48
Jan Veselý,2012,1077.5583333333334,,87.46069182389938,305.28
Bismack Biyombo,2012,1455.22,,79.3843464750437,411.92
Brandon Knight,2012,2128.495,,84.67629063862118,1000.28
Kemba Walker,2012,1792.0466666666666,,81.55391336300167,979.72
Jimmer Fredette,2012,1134.66,,86.49741631094136,534.12
Klay Thompson,2012,1607.665,,95.93050264796061,861.04
Alec Burks,2012,938.9033333333332,,90.24887454344687,470.92
Kawhi Leonard,2012,1534.3966666666668,,104.16666666666666,486.72
Iman Shumpert,2012,1705.4666666666667,,81.24567074578619,692.96
Chris Singleton,2012,1430.7383333333332,,82.84600389863547,369.36
Tobias Harris,2012,479.015,,92.95673936360386,223.76
Reggie Jackson,2012,500.7133333333333,,67.38544474393531,207.76
MarShon Brooks,2012,1648.3066666666666,,86.01418991155603,823.12
Shelvin Mack,2012,779.48,,78.24193767859572,293.96000000000004
Chandler Parsons,2012,1804.365,,90.16738921001927,664.32
Charles Jenkins,2012,892.8933333333333,,80.67144719687091,368.16
Isaiah Thomas,2012,1655.44,,98.8909426987061,757.4
Anthony Davis,2013,1845.9516666666664,,100.34722222222223,864.0
Michael Kidd-Gilchrist,2013,2024.763333333333,,88.41111166926207,796.28
Bradley Beal,2013,1744.5716666666667,,92.09407764239161,846.96
Dion Waiters,2013,1756.305,,86.81971798158723,1029.72
Thomas Robinson,2013,1055.715,,72.87289915966387,456.96
Damian Lillard,2013,3166.87,,93.40764483566952,1672.24
Harrison Barnes,2013,2057.5316666666668,,92.05020920502092,812.6
Austin Rivers,2013,1417.55,,73.70190803878637,511.52
Meyers Leonard,2013,1206.2516666666668,,103.2424142841494,365.16
Maurice Harkless,2013,1973.605,,90.6690651656705,689.32
Tyler Zeller,2013,2033.1783333333333,,84.36134314322067,723.08
Andrew Nicholson,2013,1249.4083333333333,,96.80717725443631,606.36
Marquis Teague,2013,391.9216666666667,,63.85448916408668,155.04000000000002
Jae Crowder,2013,1353.165,,87.47656877622066,448.12
Orlando Johnson,2013,618.6566666666666,,90.99874484489868,223.08
Quincy Acy,2013,342.33666666666664,,106.69610007358352,108.72
Will Barton,2013,893.77,,74.19517102615694,397.6
Doron Lamb,2013,577.7783333333333,,75.50500098058443,203.96
Darius Miller,2013,694.0,,87.71929824561404,134.51999999999998
Kyle O'Quinn,2013,637.9166666666666,,91.41055949566588,253.8
Anthony Bennett,2014,662.6383333333333,,71.76875248048684,302.36
Victor Oladipo,2014,2486.4933333333333,,83.03802030151961,1331.92
Cody Zeller,2014,1416.6816666666666,,84.62867012089811,579.0
Ben McLemore,2014,2186.9066666666668,,85.92705747565401,837.92
Kentavious Caldwell-Pope,2014,1582.513333333333,,91.29049801880197,514.8399999999999
Trey Burke,2014,2262.43,,83.04568904724789,1077.72
CJ McCollum,2014,475.74,,88.17336374802596,227.96
Michael Carter-Williams,2014,2413.9133333333334,,79.79596302171653,1462.48
Kelly Olynyk,2014,1399.955,,91.73618667633902,661.68
