player,rookie_season,minutes,pts_per_100,poss_est,player_id,usg_pct
Chris Singleton,2012,1430.7383333333332,82.84600389863547,369.36,202698,15.4
Tobias Harris,2012,479.015,92.95673936360386,223.76,202699,21.6
Reggie Jackson,2012,500.7133333333333,67.38544474393531,207.76,202704,18.3
MarShon Brooks,2012,1648.3066666666666,86.01418991155603,823.12,202705,21.7
Shelvin Mack,2012,779.48,78.24193767859572,293.96000000000004,202714,18.3
Chandler Parsons,2012,1804.365,90.16738921001928,664.32,202718,18.2
Charles Jenkins,2012,892.8933333333333,80.67144719687091,368.16,202724,14.499999999999998
Isaiah Thomas,2012,1655.44,98.8909426987061,757.4,202738,22.399999999999988
Anthony Davis,2013,1845.9516666666664,100.34722222222224,864.0,203076,25.0
Michael Kidd-Gilchrist,2013,2024.763333333333,88.41111166926207,796.28,203077,15.299999999999999
Bradley Beal,2013,1744.5716666666667,92.0940776423916,846.96,203078,24.0
Dion Waiters,2013,1756.305,86.81971798158723,1029.72,203079,26.400000000000002
Thomas Robinson,2013,1055.715,72.87289915966387,456.96,203080,19.1
Damian Lillard,2013,3166.87,93.40764483566952,1672.24,203081,24.4
Harrison Barnes,2013,2057.5316666666668,92.05020920502092,812.6,203084,16.6
Austin Rivers,2013,1417.55,73.70190803878637,511.52,203085,20.9
Meyers Leonard,2013,1206.2516666666668,103.2424142841494,365.16,203086,13.5
Maurice Harkless,2013,1973.605,90.6690651656705,689.32,203090,14.499999999999998
Tyler Zeller,2013,2033.1783333333333,84.36134314322067,723.08,203092,16.8
Andrew Nicholson,2013,1249.4083333333333,96.80717725443633,606.36,203094,19.1
Marquis Teague,2013,391.9216666666667,63.85448916408668,155.04000000000002,203104,17.599999999999998
Jae Crowder,2013,1353.165,87.47656877622066,448.12,203109,12.8
Orlando Johnson,2013,618.6566666666666,90.99874484489868,223.08,203111,15.4
Quincy Acy,2013,342.33666666666664,106.69610007358352,108.72,203112,9.9
Will Barton,2013,893.77,74.19517102615694,397.6,203115,21.0
Doron Lamb,2013,577.7783333333333,75.50500098058443,203.96,203117,13.100000000000001
Darius Miller,2013,694.0,87.71929824561404,134.51999999999998,203121,12.5
Kyle O'Quinn,2013,637.9166666666666,91.41055949566588,253.8,203124,18.099999999999998
Anthony Bennett,2014,662.6383333333333,71.76875248048684,302.36,203461,17.2
Victor Oladipo,2014,2486.4933333333333,83.03802030151961,1331.92,203506,24.9
Cody Zeller,2014,1416.6816666666666,84.62867012089811,579.0,203469,15.299999999999999
Ben McLemore,2014,2186.9066666666668,85.92705747565401,837.92,203463,17.0
Kentavious Caldwell-Pope,2014,1582.513333333333,91.29049801880196,514.8399999999999,203484,19.0
Trey Burke,2014,2262.43,83.04568904724789,1077.72,203504,23.200000000000003
CJ McCollum,2014,475.74,88.17336374802596,227.96,203468,19.8
Michael Carter-Williams,2014,2413.9133333333334,79.79596302171653,1462.48,203487,26.400000000000002
Kelly Olynyk,2014,1399.955,91.73618667633902,661.68,203482,20.599999999999998
Giannis Antetokounmpo,2014,1896.8083333333327,83.48174532502226,628.88,203507,19.3
Tim Hardaway Jr.,2014,1875.4783333333328,104.26156493572223,790.32,203501,22.89999999999999
Andre Roberson,2014,399.04333333333335,82.05689277899343,91.4,203460,8.799999999999999
Archie Goodwin,2014,532.88,82.48299319727892,235.2,203462,22.5
Nate Wolters,2014,1309.3583333333331,85.87314662273475,485.6,203489,13.100000000000001
Ryan Kelly,2014,1311.8666666666666,98.86887306242146,477.4,203527,14.000000000000002
Andrew Wiggins,2015,2968.7966666666666,91.30766800084264,1519.04,203952,26.700000000000003
Dante Exum,2015,1817.05,71.70486060429135,548.0799999999999,203957,
Marcus Smart,2015,1808.2266666666667,83.96480863087594,622.88,203935,16.8
Elfrid Payton,2015,2488.6666666666665,72.72474033984639,1005.16,203901,19.8
Zach LaVine,2015,1901.7216666666664,82.07790015613791,947.88,203897,22.8
T.J. Warren,2015,614.13,98.25152390118704,249.36,203933,19.5
Adreian Payne,2015,739.6383333333333,74.93667323388685,284.24,203940,17.5
Jusuf Nurkić,2015,1103.2583333333334,80.82264551870685,527.0799999999999,203994,26.6
Tyler Ennis,2015,411.42333333333335,63.994076581341226,189.08,203898,16.8
Shabazz Napier,2015,1011.58,78.22803021220477,333.64,203894,19.6
Kyle Anderson,2015,358.08,70.3689615823507,105.16,203937,14.299999999999999
K.J. McDaniels,2015,1351.895,81.50354799839336,597.52,203909,17.9
Jerami Grant,2015,1376.5483333333334,78.747700797057,521.9200000000001,203924,17.9
Markel Brown,2015,781.4166666666666,82.41758241758241,262.08000000000004,203900,18.3
Jordan Clarkson,2015,1475.8233333333333,92.31536926147704,761.52,203903,22.5
Karl-Anthony Towns,2016,2626.485,103.15717227179135,1457.0,1626157,27.1
D'Angelo Russell,2016,2259.08,85.30268695370671,1235.6,1626156,26.400000000000002
Jahlil Okafor,2016,1590.565,93.70329981017004,990.36,1626143,24.4
Kristaps Porziņģis,2016,2046.4616666666664,92.39618910659716,1112.6,204001,24.0
Mario Hezonja,2016,1412.8533333333332,88.72225109510728,538.76,1626209,18.7
Willie Cauley-Stein,2016,1411.545,105.22727272727272,440.0,1626161,19.5
Emmanuel Mudiay,2016,2067.8866666666668,71.83103232396455,1213.96,1626144,22.2
Stanley Johnson,2016,1687.0716666666667,78.14147164242041,758.88,1626169,14.399999999999999
Frank Kaminsky,2016,1707.5733333333333,93.50120348083688,648.12,1626163,21.6
Justise Winslow,2016,2232.135,82.50065737575598,608.48,1626159,19.8
Myles Turner,2016,1367.185,95.19562007874016,650.24,1626167,19.5
Trey Lyles,2016,1382.3933333333334,90.86169658151488,537.0799999999999,1626168,20.9
Devin Booker,2016,2107.665,91.9588642027307,1139.64,1626164,28.000000000000004
Cameron Payne,2016,697.6133333333333,85.09742602838585,332.56,1626166,21.2
Terry Rozier,2016,311.325,55.64142194744976,129.4,1626179,16.69999999999999
Rashad Vaughn,2016,1000.6933333333334,72.18895542248835,300.6,1626173,16.900000000000002
Jerian Grant,2016,1264.7733333333333,80.0571299706833,532.12,1626170,15.9
Justin Anderson,2016,646.8766666666667,93.1899641577061,223.2,1626147,20.200000000000003
Bobby Portis,2016,1102.08,84.0012330456227,519.04,1626171,19.0
Tyus Jones,2016,572.72,75.66938300349243,206.16,1626145,13.200000000000001
Jarell Martin,2016,379.54,94.28148878481636,162.28,1626185,15.6
Montrezl Harrell,2016,378.6116666666667,110.02829298962592,127.24,1626149,17.0
Richaun Holmes,2016,702.0016666666667,100.1535455053043,286.56,1626158,18.4
Darrun Hilliard,2016,383.01666666666665,90.69212410501194,167.6,1626199,19.1
Marcus Thornton,2016,1108.0783333333334,93.98496240601504,627.76,201977,18.3
Brandon Ingram,2017,2279.2616666666668,82.57454026066775,896.16,1627742,21.8
Jaylen Brown,2017,1341.3266666666666,94.57176436021744,544.56,1627759,20.8
Kris Dunn,2017,1333.0,68.46434246191234,427.96,1627739,24.5
Buddy Hield,2017,1888.1833333333327,96.06851260205892,901.44,1627741,23.599999999999998
Jamal Murray,2017,1764.6433333333334,90.53360125027908,895.8,1627750,22.3
Marquese Chriss,2017,1743.36,91.8696012883705,819.64,1627737,17.599999999999998
Thon Maker,2017,562.1883333333334,102.9331390052833,219.56,1627748,14.7
Domantas Sabonis,2017,1631.4883333333332,80.71038619667048,593.48,1627734,21.4
