Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/100 Poss.,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
89,Derrick Williams,32.5,28.2,31,2009-10,Arizona,31,30,10.8,18.8,10.6,17.8,0.3,1.1,10.6,15.5,4.5,10.1,14.6,1.5,1.3,1.3,4.0,5.2,32.5,.574,.594,.250,.681,.620,.582,F,FR,derrick-williams-2
90,Darrion Trammell,32.5,35.8,23,2020-21,Seattle,23,18,10.2,24.7,7.0,15.6,3.2,9.1,8.9,10.3,1.0,5.0,6.0,8.5,3.1,0.4,5.4,3.9,32.5,.412,.449,.348,.866,.548,.476,G,FR,darrion-trammell-1
91,Gavin Sykes,32.4,32.0,21,2025-26,Long Beach State,21,19,11.5,24.3,7.6,13.7,3.9,10.5,5.4,6.8,0.9,4.6,5.5,3.0,0.5,0.4,1.4,1.6,32.4,.476,.556,.371,.800,.590,.556,G,FR,gavin-sykes-1
92,Jeremiah Fears,32.4,30.2,34,2024-25,Oklahoma,34,31,10.0,23.1,7.9,15.7,2.1,7.5,10.2,12.0,1.4,6.5,7.9,7.8,3.1,0.2,6.5,3.6,32.4,.434,.505,.284,.851,.562,.480,G,FR,jeremiah-fears-1
93,Tookie Brown,32.4,30.8,31,2015-16,Georgia Southern,31,26,10.4,24.0,7.5,16.1,2.9,7.9,8.6,10.6,1.1,4.8,5.9,6.1,3.0,0.2,4.1,4.8,32.4,.434,.464,.373,.812,.558,.495,G,FR,tookie-brown-1
94,Doug McDermott,32.3,29.1,39,2010-11,Creighton,39,39,12.2,23.3,9.6,16.9,2.6,6.5,5.2,7.0,4.6,11.0,15.6,2.5,0.6,0.2,4.8,4.5,32.3,.525,.571,.405,.746,.607,.581,F,FR,doug-mcdermott-1
95,Mikel Brown Jr.,32.3,27.8,12,2025-26,Louisville,12,12,8.9,23.8,5.0,9.7,3.9,14.1,10.7,13.1,0.2,5.7,5.9,10.2,1.5,0.2,5.2,2.7,32.3,.373,.517,.274,.821,.539,.454,G,FR,mikel-brown-jr-1
96,Marcus Foster,32.3,29.4,33,2013-14,Kansas State,33,33,11.1,26.3,6.2,13.7,5.0,12.6,5.0,6.9,1.6,5.0,6.7,5.3,1.2,0.4,4.6,5.0,32.3,.423,.450,.395,.734,.546,.518,G,FR,marcus-foster-1
97,Pat Curtin,32.3,20.8,17,2025-26,Bucknell,17,9,11.1,26.2,8.1,15.1,3.0,11.1,7.1,8.6,2.0,6.0,8.1,3.9,3.9,0.2,3.4,6.0,32.3,.423,.533,.273,.824,.533,.481,G,FR,pat-curtin-1
98,Tounde Yessoufou,32.3,30.5,20,2025-26,Baylor,20,20,12.1,24.9,9.3,15.8,2.7,9.2,5.3,7.0,4.6,6.3,10.9,3.2,3.7,1.1,4.0,4.1,32.3,.485,.593,.300,.763,.571,.540,G,FR,tounde-yessoufou-1
