player,rookie_season,minutes,pts,poss,pts_per_100,position
Kristaps Porziņģis,2016,2046.4616666666664,1028,1112.6,92.39618910659716,Forward-Center
Mario Hezonja,2016,1412.8533333333332,478,538.76,88.72225109510728,Forward-Guard
Willie Cauley-Stein,2016,1411.545,463,440.0,105.22727272727273,Center
Emmanuel Mudiay,2016,2067.8866666666668,872,1213.96,71.83103232396455,Guard
Stanley Johnson,2016,1687.0716666666667,593,758.88,78.14147164242041,Forward-Guard
Frank Kaminsky,2016,1707.5733333333333,606,648.12,93.50120348083688,Forward-Center
Justise Winslow,2016,2232.135,502,608.48,82.50065737575598,Forward-Guard
Myles Turner,2016,1367.185,619,650.24,95.19562007874016,Center-Forward
Trey Lyles,2016,1382.3933333333334,488,537.0799999999999,90.86169658151488,Forward
Devin Booker,2016,2107.665,1048,1139.6399999999999,91.9588642027307,Guard
Cameron Payne,2016,697.6133333333333,283,332.56,85.09742602838585,Guard
Terry Rozier,2016,311.325,72,129.4,55.641421947449764,Guard
Rashad Vaughn,2016,1000.6933333333334,217,300.6,72.18895542248835,Guard
Jerian Grant,2016,1264.7733333333333,426,532.12,80.0571299706833,Guard
Justin Anderson,2016,646.8766666666667,208,223.2,93.1899641577061,Forward-Guard
Bobby Portis,2016,1102.08,436,519.04,84.0012330456227,Forward
Tyus Jones,2016,572.72,156,206.16,75.66938300349243,Guard
Jarell Martin,2016,379.54,153,162.28,94.28148878481636,Forward
Montrezl Harrell,2016,378.6116666666667,140,127.24,110.02829298962591,Forward-Center
Richaun Holmes,2016,702.0016666666667,287,286.56,100.1535455053043,Forward
Darrun Hilliard,2016,383.01666666666665,152,167.6,90.69212410501194,Guard
Marcus Thornton,2016,1108.0783333333334,590,627.76,93.98496240601504,Guard-Forward
Brandon Ingram,2017,2279.2616666666668,740,896.16,82.57454026066775,Forward
Jaylen Brown,2017,1341.3266666666666,515,544.56,94.57176436021743,Guard-Forward
Kris Dunn,2017,1333.0,293,427.96,68.46434246191234,Guard
Buddy Hield,2017,1888.1833333333332,866,901.44,96.06851260205892,Guard
Jamal Murray,2017,1764.6433333333334,811,895.8,90.53360125027909,Guard
Marquese Chriss,2017,1743.36,753,819.64,91.8696012883705,Forward
Thon Maker,2017,562.1883333333334,226,219.56,102.9331390052833,Forward-Center
Domantas Sabonis,2017,1631.4883333333332,479,593.48,80.71038619667048,Forward-Center
DeAndre' Bembry,2017,370.74,101,121.04,83.44348975545275,Guard-Forward
Timothé Luwawu-Cabarrot,2017,1189.91,445,488.12,91.16610669507499,Guard-Forward
Skal Labissière,2017,611.6383333333333,289,287.56,100.50076505772708,Forward-Center
Ivica Zubac,2017,608.515,284,289.56,98.07984528249759,Center
Malcolm Brogdon,2017,1982.39,767,803.44,95.46450263865378,Guard
Patrick McCaw,2017,1073.995,282,297.28,94.8600645855759,Guard
Isaiah Whitehead,2017,1643.4716666666666,543,699.72,77.60246955925227,Guard
Paul Zipser,2017,843.38,240,278.6,86.14501076812634,Forward
Lonzo Ball,2018,1780.0566666666666,528,731.24,72.20611563918823,Guard
Jayson Tatum,2018,2442.911666666667,1112,1062.52,104.65685351805142,Forward-Guard
Josh Jackson,2018,1959.2183333333328,1012,1200.76,84.27995602784902,Guard-Forward
De'Aaron Fox,2018,2025.53,844,1055.8,79.93938245879902,Guard
Lauri Markkanen,2018,2020.02,1033,1018.04,101.46949039330478,Forward-Center
Frank Ntilikina,2018,1705.6483333333333,463,660.92,70.05386431035527,Guard
Dennis Smith Jr.,2018,2049.105,1048,1302.92,80.43471586897122,Guard
Malik Monk,2018,853.505,421,490.72,85.7923051842191,Guard
Luke Kennard,2018,1462.7733333333333,558,567.44,98.33638798815733,Guard
Donovan Mitchell,2018,2638.11,1616,1707.68,94.63131265810924,Guard
Bam Adebayo,2018,1368.185,477,484.76,98.39920785543362,Center-Forward
Justin Jackson,2018,1506.2583333333334,453,474.84,95.40055597675007,Forward
T.J. Leaf,2018,459.2433333333333,156,153.04,101.93413486670153,Forward
John Collins,2018,1784.62,777,731.84,106.17074770441626,Forward-Center
Jarrett Allen,2018,1441.115,587,543.6800000000001,107.96792230723953,Center
OG Anunoby,2018,1481.4616666666666,438,418.28,104.71454528067324,Forward-Guard
Kyle Kuzma,2018,2400.905,1242,1270.52,97.75524981897176,Forward
Josh Hart,2018,1460.5216666666668,496,463.36,107.04419889502762,Guard
Wes Iwundu,2018,1020.305,229,268.68,85.2315021587018,Forward
Frank Mason III,2018,983.9933333333332,413,495.6,83.33333333333333,Guard
Ivan Rabb,2018,515.61,201,202.84,99.0928810885427,Forward
Semi Ojeleye,2018,1150.21,195,231.04,84.40096952908587,Forward
Jordan Bell,2018,808.9133333333333,262,255.36,102.6002506265664,Forward
Dwayne Bacon,2018,712.9983333333333,175,226.0,77.43362831858407,Guard-Forward
Tyler Dorsey,2018,974.21,405,446.72,90.66081661891117,Guard
Dillon Brooks,2018,2349.8316666666665,898,969.04,92.66903327004046,Guard-Forward
Sterling Brown,2018,776.4466666666667,217,240.56,90.20618556701031,Guard-Forward
Sindarius Thornwell,2018,1155.88,282,324.72,86.8440502586844,Guard
Deandre Ayton,2019,2182.688333333333,1159,1079.1599999999999,107.39834686237445,Center
Marvin Bagley III,2019,1567.495,923,919.28,100.40466452005919,Forward
Luka Dončić,2019,2317.74,1526,1646.4,92.68707482993197,Forward-Guard
Jaren Jackson Jr.,2019,1514.6883333333333,798,773.6800000000001,103.14341846758349,Forward-Center
Trae Young,2019,2503.2816666666668,1549,1746.16,88.70893847070143,Guard
