Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
46,Anthony Lamb,34.7,22.5,35,2016-17,Vermont,35,35,3.9,109,91,2.0,1.9,.200,1.7,1.3,3.0,25.8,11.2,18.7,15.1,6.7,2.1,5.8,15.4,31.0,F,FR,anthony-lamb-2
47,B.J. Young,34.5,25.2,32,2011-12,Arkansas,32,7,3.5,113,103,2.6,0.9,.172,7.1,0.6,7.7,24.7,4.0,10.8,7.2,22.0,2.6,1.0,15.5,29.2,G,FR,bj-young-1
48,Anthony Bennett,34.4,27.1,35,2012-13,UNLV,35,31,5.7,118,90,3.5,2.2,.238,6.1,2.5,8.6,28.3,10.3,24.0,17.1,8.8,1.5,4.6,12.3,27.5,F,FR,anthony-bennett-1
49,D'Angelo Russell,34.4,33.9,35,2014-15,Ohio State,35,34,6.8,116,95,4.4,2.4,.229,8.6,3.3,11.9,26.6,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,G,FR,dangelo-russell-1
50,Dylan Harper,34.4,32.6,29,2024-25,Rutgers,29,28,3.9,118,110,3.0,0.9,.166,7.0,2.1,9.2,24.6,2.6,13.5,8.0,27.1,2.6,1.9,12.7,29.0,G,FR,dylan-harper-1
51,C.J. McCollum,34.3,31.9,33,2009-10,Lehigh,33,31,5.4,119,101,4.0,1.4,.205,,,,25.8,5.1,12.3,8.8,17.1,2.3,0.7,11.0,28.4,G,FR,cj-mccollum-1
52,Jalen Haralson,34.2,26.0,17,2025-26,Notre Dame,17,15,1.1,103,108,0.5,0.6,.098,2.2,0.9,3.1,17.2,6.0,9.7,7.9,21.4,1.1,1.8,17.6,33.2,G,FR,jalen-haralson-1
53,Gavin Sykes,34.2,31.4,19,2025-26,Long Beach State,19,17,2.3,125,115,1.9,0.5,.157,5.9,-2.6,3.3,20.6,1.9,11.3,6.4,9.1,0.5,0.7,4.8,26.3,G,FR,gavin-sykes-1
54,Myles Taylor,34.0,24.4,28,2011-12,UT Martin,28,27,2.4,113,111,2.2,0.2,.139,2.3,-2.4,-0.1,24.7,9.9,18.7,13.7,8.7,1.8,3.2,12.1,29.0,F,FR,myles-taylor-1
55,Mikel Brown Jr.,33.9,27.2,10,2025-26,Louisville,10,10,1.4,119,102,0.8,0.5,.203,4.5,0.9,5.4,20.2,0.0,11.3,5.9,32.9,1.6,0.4,13.8,30.3,G,FR,mikel-brown-jr-1
56,Rashad Vaughn,33.9,32.3,23,2014-15,UNLV,23,23,2.5,104,100,1.4,1.1,.132,4.5,0.1,4.5,20.2,2.3,13.7,8.4,11.8,1.5,1.1,11.8,30.8,G,FR,rashad-vaughn-1
57,Ryan Forrest,33.9,20.1,10,2023-24,Northwestern State,10,7,0.0,89,111,-0.1,0.2,.008,-2.3,-3.7,-6.0,13.0,2.7,9.1,5.9,9.6,2.0,2.2,13.4,36.9,G,FR,ryan-forrest-1
58,Markus Howard,33.9,22.0,31,2016-17,Marquette,31,27,2.9,120,109,2.4,0.5,.169,7.9,0.0,7.9,23.1,1.6,10.3,6.1,19.9,2.1,0.3,17.4,26.7,G,FR,markus-howard-1
59,Matt Morgan,33.9,30.7,27,2015-16,Cornell,27,26,2.7,110,109,2.1,0.6,.132,4.6,-1.3,3.3,22.5,1.4,9.7,5.5,14.9,2.5,1.2,10.2,30.0,G,FR,matt-morgan-1
60,Darius Garland,33.8,27.8,5,2018-19,Vanderbilt,5,5,0.5,112,106,0.4,0.1,.148,3.8,1.1,4.9,23.6,1.6,13.7,7.7,25.7,1.7,1.5,19.6,27.9,G,FR,darius-garland-1
61,Jared Sullinger,33.8,31.7,37,2010-11,Ohio State,37,36,8.3,126,90,5.4,2.9,.283,7.1,2.4,9.5,30.3,14.1,26.0,20.1,7.4,2.0,2.0,9.9,27.0,F,FR,jared-sullinger-1
62,Tre Johnson,33.6,34.7,33,2024-25,Texas,33,33,4.2,115,110,3.0,1.1,.145,6.5,1.2,7.7,19.7,1.1,9.0,5.2,16.5,1.6,1.0,9.2,29.1,G,FR,tre-johnson-2
63,Isaiah Johnson,33.6,26.8,18,2025-26,Colorado,18,1,2.7,142,113,2.2,0.4,.223,7.9,1.3,9.2,24.9,5.0,7.3,6.2,14.6,2.4,0.0,7.8,23.6,G,FR,isaiah-johnson-3
64,Jamal Murray,33.4,35.2,36,2015-16,Kentucky,36,36,6.1,120,103,4.4,1.7,.193,8.1,1.4,9.5,22.7,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.3,G,FR,jamal-murray-1
65,Shabazz Muhammad,33.3,30.8,32,2012-13,UCLA,32,30,3.7,110,105,2.9,0.8,.149,5.8,-1.1,4.7,21.9,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,G,FR,shabazz-muhammad-1
66,Malik Monk,33.3,32.1,38,2016-17,Kentucky,38,37,5.8,118,101,3.9,1.9,.189,6.5,2.5,9.0,21.5,1.1,7.3,4.2,13.3,1.6,1.5,10.4,27.2,G,FR,malik-monk-1
67,Tounde Yessoufou,33.3,30.2,17,2025-26,Baylor,17,17,2.4,121,103,1.5,0.9,.189,4.8,1.4,6.3,23.7,10.4,11.1,10.8,11.5,3.8,2.2,12.6,27.6,G,FR,tounde-yessoufou-1
68,Tyler Hall,33.2,32.0,31,2015-16,Montana State,31,31,3.9,120,111,3.3,0.6,.156,5.6,-1.5,4.1,22.8,2.7,16.3,9.1,11.1,1.6,0.9,10.4,26.3,G,FR,tyler-hall-2
69,Sharife Cooper,33.2,33.1,12,2020-21,Auburn,12,12,1.7,111,107,1.4,0.3,.174,4.7,-0.4,4.3,22.9,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,G,FR,sharife-cooper-1
70,Tre Mitchell,33.2,30.8,31,2019-20,Massachusetts,31,31,3.0,100,99,1.6,1.4,.126,3.4,0.9,4.3,22.2,5.5,22.2,13.7,15.6,1.9,3.5,17.0,31.9,C,FR,tre-mitchell-1
71,Sam Finley,33.1,22.3,30,2013-14,UC Riverside,30,8,1.6,103,109,1.0,0.6,.095,0.6,-2.1,-1.5,17.4,1.4,9.8,5.6,8.2,1.6,0.9,12.1,31.0,G,FR,sam-finley-1
72,Nate Calmese,33.1,31.5,31,2022-23,Lamar,31,31,2.7,111,113,2.3,0.4,.112,3.1,-3.0,0.1,20.3,2.6,6.5,4.5,15.9,2.2,1.0,13.5,28.2,G,FR,nate-calmese-1
73,Jabari Smith,33.0,28.8,34,2021-22,Auburn,34,34,5.6,117,91,3.2,2.3,.227,7.4,3.8,11.1,25.1,3.5,23.5,13.6,14.0,2.1,3.8,11.1,27.6,F,FR,jabari-smith-2
74,Chris Clemons,32.9,32.2,30,2015-16,Campbell,30,29,3.3,109,105,2.2,1.1,.139,2.3,-2.2,0.1,21.4,1.2,12.1,6.7,13.2,2.7,0.9,10.4,29.1,G,FR,chris-clemons-2
75,Obi Toppin,32.9,26.5,33,2018-19,Dayton,33,15,4.8,123,98,3.2,1.6,.221,6.2,2.5,8.7,27.9,7.7,17.2,12.9,15.7,1.5,3.7,15.5,25.1,F,FR,obadiah-toppin-1
76,Michael Weathers,32.9,28.3,32,2016-17,Miami (OH),32,28,2.3,96,99,0.8,1.6,.103,0.7,1.8,2.4,22.2,2.8,13.6,8.2,41.3,3.7,6.0,22.3,35.7,G,FR,michael-weathers-1
77,Roman Domon,32.9,20.6,19,2025-26,Murray State,19,0,2.1,129,104,1.4,0.7,.216,5.7,1.6,7.3,24.3,6.2,18.6,12.7,13.2,2.5,0.4,17.0,24.7,F,FR,roman-domon-1
78,Cody Zeller,32.8,28.5,36,2011-12,Indiana,36,36,6.8,132,96,5.1,1.8,.267,8.2,3.5,11.7,31.3,11.3,18.4,14.9,9.5,2.9,4.3,12.4,24.3,F,FR,cody-zeller-1
79,B.J. Tyson,32.8,24.2,33,2014-15,East Carolina,33,0,2.8,108,106,2.0,0.8,.139,3.7,-1.5,2.2,21.9,6.7,12.9,9.7,14.9,2.1,0.4,11.7,29.8,G,FR,bj-tyson-1
80,T.J. Weeks Jr.,32.7,26.0,10,2019-20,Massachusetts,10,2,1.1,114,99,0.7,0.4,.174,7.2,1.8,9.0,24.1,3.1,14.3,8.6,5.4,4.0,1.2,8.1,26.6,G,FR,tj-weeks-1
81,Alec Burks,32.6,30.2,30,2009-10,Colorado,30,30,4.2,121,108,3.6,0.6,.186,,,,25.8,8.3,12.2,10.3,13.6,2.2,1.4,12.3,27.1,G,FR,alec-burks-1
82,Jeremiah Wilkinson,32.6,27.3,32,2024-25,California,32,14,2.3,111,116,1.9,0.4,.104,3.3,-0.4,2.9,17.0,2.0,6.4,4.0,12.3,1.7,0.5,10.0,28.8,G,FR,jeremiah-wilkinson-1
83,Chris Fouch,32.6,21.3,30,2009-10,Drexel,30,0,2.9,117,102,2.1,0.8,.180,,,,21.9,2.0,8.3,5.1,14.7,2.0,0.6,9.1,26.4,G,FR,chris-fouch-1
84,Javon McCrea,32.6,21.6,34,2010-11,Buffalo,34,0,4.4,115,89,2.5,1.8,.238,6.2,3.3,9.5,32.8,17.2,18.6,17.9,19.1,3.5,8.5,17.9,27.5,F,FR,javon-mccrea-1
85,Marcquise Reed,32.6,27.8,35,2014-15,Robert Morris,35,28,3.4,106,102,2.1,1.3,.139,1.8,0.7,2.5,22.1,2.4,7.9,5.3,18.6,4.1,0.1,16.2,29.6,G,FR,marcquise-reed-1
86,Alessandro Lever,32.5,21.3,34,2017-18,Grand Canyon,34,27,3.1,107,94,1.4,1.7,.170,0.8,0.8,1.6,19.0,6.2,16.0,11.1,12.8,0.9,2.0,13.6,29.2,F,FR,alessandro-lever-1
87,Darius Acuff Jr.,32.5,33.1,18,2025-26,Arkansas,18,18,2.9,128,112,2.3,0.6,.195,8.1,1.0,9.1,22.8,1.8,8.1,5.0,34.0,1.6,1.5,11.6,26.4,G,FR,darius-acuff-jr-1
88,Josh Harris,32.5,22.5,30,2024-25,North Florida,30,30,2.7,122,113,2.2,0.5,.159,1.4,-3.4,-2.0,25.2,13.8,19.8,16.7,5.2,1.7,2.0,8.4,26.0,F,FR,josh-harris-1
89,Derrick Williams,32.5,28.2,31,2009-10,Arizona,31,30,4.3,119,102,3.2,1.1,.195,,,,25.8,9.7,19.7,14.9,6.3,1.3,2.4,13.3,26.6,F,FR,derrick-williams-2
90,Darrion Trammell,32.5,35.8,23,2020-21,Seattle,23,18,3.9,109,98,2.5,1.4,.188,3.3,1.0,4.3,23.8,1.8,10.7,6.0,32.4,3.1,0.8,15.5,30.6,G,FR,darrion-trammell-1
91,Jeremiah Fears,32.4,30.2,34,2024-25,Oklahoma,34,31,3.4,108,107,2.1,1.2,.132,4.2,1.7,5.9,20.7,3.1,13.0,8.3,28.6,3.1,0.5,18.3,31.5,G,FR,jeremiah-fears-1
92,Tookie Brown,32.4,30.8,31,2015-16,Georgia Southern,31,26,4.0,115,105,2.9,1.1,.169,3.6,-0.1,3.5,22.9,1.9,9.5,5.5,24.7,3.0,0.5,12.3,28.2,G,FR,tookie-brown-1
93,Doug McDermott,32.3,29.1,39,2010-11,Creighton,39,39,4.4,112,104,3.3,1.2,.157,4.3,-1.3,3.0,22.9,9.4,20.3,15.2,9.8,0.6,0.4,15.4,27.4,F,FR,doug-mcdermott-1
94,Marcus Foster,32.3,29.4,33,2013-14,Kansas State,33,33,3.2,108,104,1.9,1.3,.133,5.3,1.5,6.8,17.7,3.1,9.5,6.3,20.9,1.2,0.8,13.4,28.8,G,FR,marcus-foster-1
95,Diamond Stone,32.1,23.1,35,2015-16,Maryland,35,22,4.1,118,98,2.6,1.5,.204,3.8,2.0,5.8,26.7,12.4,14.5,13.6,4.2,1.3,7.1,12.9,26.7,C,FR,diamond-stone-1
96,Elijah Bryant,32.1,25.5,33,2014-15,Elon,33,13,2.0,95,99,0.7,1.3,.095,1.4,-0.3,1.1,18.5,5.8,12.9,9.2,24.7,2.9,1.7,19.8,34.6,G,FR,elijah-bryant-1
97,Anthony Edwards,32.1,33.0,32,2019-20,Georgia,32,32,3.6,106,104,2.5,1.1,.136,4.8,0.7,5.5,20.8,2.5,14.8,8.7,17.9,2.3,1.7,12.9,30.4,G,FR,anthony-edwards-2
98,Alex Chaikin,32.0,26.5,32,2024-25,Lafayette,32,19,3.4,123,109,2.4,0.9,.159,3.2,-1.9,1.3,19.8,2.1,9.3,5.7,9.2,1.3,0.7,11.5,23.7,G,FR,alex-chaikin-1
99,Brandon McCoy,32.0,28.8,33,2017-18,UNLV,33,33,4.0,112,100,2.4,1.6,.170,2.6,0.3,2.9,25.2,12.8,25.2,19.5,3.5,0.9,5.7,15.5,27.5,F,FR,brandon-mccoy-1
100,Hunter Dickinson,32.0,26.0,28,2020-21,Michigan,28,23,3.8,114,94,2.3,1.5,.209,3.9,3.6,7.5,25.8,10.9,21.3,16.6,7.3,0.7,5.3,16.9,27.3,C,FR,hunter-dickinson-1
101,Ray'Sean Taylor,32.0,32.3,21,2021-22,SIU Edwardsville,21,21,2.3,104,100,1.3,1.0,.137,2.4,0.1,2.4,20.4,3.5,14.5,8.8,22.4,3.2,0.5,15.8,29.7,G,FR,raysean-taylor-1
102,Andrew Rowsey,32.0,36.1,32,2013-14,UNC Asheville,32,32,3.9,115,111,3.1,0.8,.136,2.8,-2.9,-0.1,19.9,1.4,9.5,5.7,17.2,2.1,0.3,15.7,27.5,G,FR,andrew-rowsey-1
103,Markus Burton,32.0,33.8,33,2023-24,Notre Dame,33,33,2.9,99,103,1.1,1.8,.102,1.4,2.6,4.0,18.2,2.2,9.1,5.7,34.9,3.5,0.7,17.9,33.3,G,FR,markus-burton-1
104,Evan Boudreaux,31.9,32.1,27,2015-16,Dartmouth,27,27,3.6,112,100,2.2,1.4,.168,2.4,-1.0,1.4,22.5,8.3,26.3,17.1,8.1,1.5,1.0,14.2,27.9,F,FR,evan-boudreaux-1
105,Souley Boum,31.9,20.3,36,2017-18,San Francisco,36,12,1.8,100,105,0.8,0.9,.097,0.5,-0.3,0.2,15.8,3.2,11.9,7.4,11.2,1.5,0.7,14.0,31.3,G,FR,souley-boum-1
106,Johni Broome,31.9,25.8,30,2020-21,Morehead State,30,27,4.4,112,88,2.3,2.1,.226,2.6,1.5,4.2,29.2,14.7,26.2,20.8,6.7,1.4,8.5,13.8,27.7,F,FR,johni-broome-1
107,Nick Muszynski,31.8,24.9,32,2018-19,Belmont,32,32,4.7,124,96,3.1,1.6,.236,4.6,3.3,7.9,29.4,5.9,18.6,12.6,20.4,1.3,8.5,11.9,25.4,C,FR,nick-muszynski-1
108,David Collette,31.8,25.5,31,2014-15,Utah State,31,31,4.0,116,96,2.5,1.5,.200,2.7,3.0,5.7,26.6,7.6,14.9,11.6,12.7,2.0,7.8,9.8,26.5,F,FR,david-collette-1
109,Christian Keeling,31.8,31.2,31,2016-17,Charleston Southern,31,28,3.6,113,107,2.6,1.0,.150,3.5,-2.2,1.3,23.4,4.5,22.7,13.0,9.5,1.7,1.1,9.8,27.7,G,FR,christian-keeling-1
110,Desmond Cambridge Jr.,31.8,30.0,27,2017-18,Brown,27,27,2.5,109,107,1.7,0.9,.126,3.0,-0.9,2.1,19.7,3.3,14.3,8.5,9.4,2.0,3.7,8.0,28.7,G,FR,desmond-cambridge-2
111,Pat Curtin,31.8,20.1,14,2025-26,Bucknell,14,6,0.6,102,109,0.2,0.4,.084,-1.0,0.7,-0.3,18.1,4.0,13.1,8.3,18.2,4.6,0.0,10.8,30.5,G,FR,pat-curtin-1
112,Blake Harper,31.7,34.4,32,2024-25,Howard,32,32,4.1,118,112,3.2,0.9,.151,1.5,-2.8,-1.2,20.0,3.5,17.3,10.6,20.1,1.6,0.1,13.9,27.6,G,FR,blake-harper-1
113,Brandon Miller,31.7,32.6,37,2022-23,Alabama,37,37,7.0,120,92,4.1,2.9,.230,7.8,4.3,12.0,23.4,6.7,17.7,12.6,12.9,1.5,2.4,12.0,26.2,F,FR,brandon-miller-3
114,K.D. Johnson,31.7,22.5,16,2020-21,Georgia,16,0,1.1,102,100,0.6,0.5,.126,2.6,2.2,4.8,19.0,3.3,10.0,6.7,10.3,4.3,0.9,14.3,30.1,G,FR,kd-johnson-1
115,Nate Ament,31.7,28.2,18,2025-26,Tennessee,18,18,2.3,114,97,1.1,1.2,.184,2.8,3.5,6.4,19.4,6.5,17.7,12.5,15.6,2.8,1.8,15.4,28.5,F,FR,nate-ament-1
