player,rookie_season,minutes,poss_est,player_id,usg_pct,pts_per_100
Julian Phillips,2024,322.55,95.36,1641763,12.6,13.2
Julian Wright,2008,640.0766666666667,225.88,201153,17.8,18.2
Justin Anderson,2016,646.8766666666667,223.2,1626147,20.200000000000003,15.7
Justin Jackson,2018,1506.2583333333334,474.84,1628382,14.099999999999998,14.8
Justin Jackson,2019,1613.25,548.76,1628382,15.0,16.8
Justise Winslow,2016,2232.135,608.48,1626159,19.8,11.3
Jusuf Nurkić,2015,1103.2583333333334,527.0799999999999,203994,26.6,18.9
Kareem Rush,2003,874.7516666666667,317.12,2416,18.0,13.1
Karl-Anthony Towns,2016,2626.485,1457.0,1626157,27.1,28.3
Kawhi Leonard,2012,1534.3966666666668,486.72,202695,16.400000000000002,16.8
Keegan Murray,2023,2381.673333333333,877.64,1631099,17.8,19.4
Keita Bates-Diop,2019,503.37666666666667,168.32,1628966,15.6,14.3
Keith Bogans,2004,1786.045,574.3199999999999,2586,21.3,14.4
Kel'el Ware,2025,1422.486666666667,550.48,1642276,17.2,20.4
Kelly Olynyk,2014,1399.955,661.68,203482,20.6,21.4
Kemba Walker,2012,1792.0466666666666,979.72,202689,25.0,23.1
Kenny Satterfield,2002,559.8583333333333,272.24,2261,20.6,17.5
Kentavious Caldwell-Pope,2014,1582.513333333333,514.8399999999999,203484,19.0,14.6
Kenyon Martin,2001,2273.3233333333333,999.48,2030,22.0,18.3
Keon Johnson,2022,696.2466666666667,340.44,1630553,23.7,18.5
Kessler Edwards,2022,987.195,317.36,1630556,11.9,13.7
Kevin Durant,2008,2767.968333333333,1795.12,201142,27.700000000000003,28.6
Kevin Huerter,2019,2048.53,790.64,1628989,16.900000000000002,16.2
Kevin Love,2009,2047.7016666666664,953.84,201567,21.6,22.4
Kevin Porter Jr.,2020,1161.72,558.44,1629645,24.7,20.6
Kevin Séraphin,2011,634.6283333333333,202.64,202338,18.1,11.9
Keyonte George,2024,2022.5766666666664,1101.12,1641718,23.7,22.8
Kira Lewis Jr.,2021,904.4433333333334,393.44,1630184,20.9,17.7
Kirk Hinrich,2004,2709.268333333333,1100.92,2550,22.1,17.5
K.J. McDaniels,2015,1351.895,597.52,203909,17.9,17.6
Klay Thompson,2012,1607.665,861.04,202691,21.6,26.1
Kris Dunn,2017,1333.0,427.96,1627739,24.5,11.0
Kris Humphries,2005,869.0166666666667,383.44,2743,18.7,16.9
Kris Murray,2024,1348.2716666666668,445.64,1631200,13.3,13.5
Kristaps Porziņģis,2016,2046.4616666666664,1112.6,204001,24.0,25.4
Kyle Anderson,2015,358.08,105.16,203937,14.3,10.3
Kyle Filipowski,2025,1521.54,682.92,1642271,18.7,21.2
Kyle Kuzma,2018,2400.905,1270.52,1628398,23.3,24.4
Kyle O'Quinn,2013,637.9166666666666,253.8,203124,18.1,18.2
Kyrie Irving,2012,1557.8516666666667,993.24,202681,29.2,30.8
Kyshawn George,2025,1802.1833333333327,683.92,1642273,15.9,15.2
LaMarcus Aldridge,2007,1391.756666666667,572.6,200746,25.2,21.6
LaMelo Ball,2021,1468.5733333333333,889.6,1630163,27.1,25.3
Landry Fields,2011,2541.3283333333334,773.6800000000001,202361,15.7,15.5
Landry Shamet,2019,1801.8933333333327,642.92,1629013,13.2,18.6
Larry Sanders,2011,872.1616666666666,328.0,202336,16.69999999999999,15.3
Lauri Markkanen,2018,2020.02,1018.04,1628374,24.5,24.7
Leandro Barbosa,2004,1500.565,616.8399999999999,2571,18.4,18.4
LeBron James,2004,3126.865,1967.4,2544,29.2,27.3
Leon Powe,2007,719.8016666666666,287.36,200796,21.8,18.8
Lonny Baxter,2003,683.6466666666666,297.32,2437,16.8,18.9
Lonzo Ball,2018,1780.0566666666666,731.24,1628366,16.69999999999999,13.8
Loren Woods,2002,515.7033333333334,158.4,2254,13.6,10.9
Luc Mbah a Moute,2009,2113.6916666666666,675.48,201601,12.0,14.3
Luka Dončić,2019,2317.74,1646.4,1629029,35.5,31.2
Luke Kennard,2018,1462.7733333333333,567.44,1628379,17.9,18.8
Luke Walton,2004,717.955,216.36,2575,14.8,12.4
Luol Deng,2005,1661.07,834.28,2736,20.200000000000003,21.7
Luther Head,2006,2309.971666666667,803.12,101129,17.9,16.3
Malachi Flynn,2021,927.545,407.64,1630201,15.7,18.0
Malaki Branham,2023,1549.5966666666666,717.8,1631103,19.2,19.9
Malcolm Brogdon,2017,1982.39,803.44,1627763,18.899999999999988,19.5
Malik Monk,2018,853.505,490.72,1628370,23.6,23.2
Marcus Banks,2004,1377.5166666666669,624.64,2556,16.6,17.3
Marcus Fizer,2001,1581.3533333333332,840.84,2033,25.7,22.5
Marcus Sasser,2024,1351.11,631.04,1631204,18.7,20.4
Marcus Smart,2015,1808.2266666666667,622.88,203935,16.8,14.4
Marcus Thornton,2010,1871.5966666666664,1036.88,201977,24.1,28.7
Marcus Thornton,2016,1108.0783333333334,627.76,201977,18.3,25.0
Mardy Collins,2007,777.0866666666667,321.08,200776,17.1,15.5
Mario Chalmers,2009,2625.843333333333,911.92,201596,16.0,16.3
Mario Hezonja,2016,1412.8533333333332,538.76,1626209,18.7,16.5
MarJon Beauchamp,2023,701.3816666666667,304.28,1630699,14.099999999999998,17.6
Mark Madsen,2001,636.8783333333333,156.28,2058,12.4,10.8
Mark Williams,2023,827.975,333.68,1631109,16.2,21.9
Markel Brown,2015,781.4166666666666,262.08000000000004,203900,18.3,13.8
Marquese Chriss,2017,1743.36,819.64,1627737,17.599999999999998,20.3
Marquis Teague,2013,391.9216666666667,155.04000000000002,203104,17.599999999999998,13.4
Marreese Speights,2009,1262.4233333333334,606.08,201578,24.9,24.8
MarShon Brooks,2012,1648.3066666666666,823.12,202705,21.7,22.4
Marvin Bagley III,2019,1567.495,919.28,1628963,24.8,27.1
Marvin Williams,2006,1952.2616666666668,725.32,101107,19.69999999999999,17.3
Matas Buzelis,2025,1511.295,676.52,1641824,18.7,20.7
Matisse Thybulle,2020,1287.4316666666666,334.04,1629680,9.0,11.2
Maurice Harkless,2013,1973.605,689.32,203090,14.499999999999998,16.2
Max Christie,2023,512.425,126.04,1631108,13.2,11.6
Melvin Ely,2003,802.9716666666667,268.56,2408,16.6,15.2
Meyers Leonard,2013,1206.2516666666668,365.16,203086,13.5,15.8
Michael Beasley,2009,2008.59,1184.04,201563,25.3,29.2
Michael Carter-Williams,2014,2413.9133333333334,1462.48,203487,26.4,23.2
Michael Kidd-Gilchrist,2013,2024.763333333333,796.28,203077,15.3,18.0
Mikal Bridges,2019,2417.115,684.92,1628969,12.5,13.3
Mike Conley,2008,1381.3366666666666,585.12,201144,17.599999999999998,17.9
Mike Miller,2001,2388.935,998.32,2034,20.7,20.4
Miles Bridges,2019,1696.3333333333333,594.88,1628970,19.6,16.7
Miles McBride,2022,372.2116666666666,118.28,1630540,14.099999999999998,11.8
Mitchell Robinson,2019,1359.5083333333334,385.4,1629011,12.9,17.0
Mo Bamba,2019,766.1933333333334,313.72,1628964,16.3,18.4
Montrezl Harrell,2016,378.6116666666667,127.24,1626149,17.0,17.4
Moritz Wagner,2019,446.18,233.32,1629021,17.9,21.1
Morris Peterson,2001,1810.575,814.8,2050,20.7,21.3
Moses Moody,2022,607.12,211.84,1630541,14.099999999999998,17.8
Myles Turner,2016,1367.185,650.24,1626167,19.5,21.8
Nassir Little,2020,572.485,185.36,1629642,13.5,13.9
Nate Robinson,2006,1543.6516666666666,767.88,101126,21.1,22.3
Nate Wolters,2014,1309.3583333333331,485.6,203489,13.1,16.2
Nenê,2003,2258.3283333333334,950.04,2403,16.900000000000002,19.4
Nickeil Alexander-Walker,2020,590.8033333333333,336.28,1629638,22.8,20.8
Nicolas Batum,2009,1453.7716666666668,433.88,201587,15.9,15.9
