season,position_group,shot_type,metric,value
2008,Forward,3p,pct,0.29844961240310075
2008,Forward,fg,attempts,644.7142857142857
2008,Forward,fg,makes,288.14285714285717
2008,Forward,fg,pct,0.44693108796809217
2008,Forward,ft,attempts,198.85714285714286
2008,Forward,ft,makes,157.14285714285714
2008,Forward,ft,pct,0.7902298850574713
2008,Forward-Center,3p,attempts,1.0
2008,Forward-Center,3p,makes,0.0
2008,Forward-Center,3p,pct,0.0
2008,Forward-Center,fg,attempts,261.3333333333333
2008,Forward-Center,fg,makes,134.33333333333334
2008,Forward-Center,fg,pct,0.514030612244898
2008,Forward-Center,ft,attempts,122.33333333333333
2008,Forward-Center,ft,makes,80.66666666666667
2008,Forward-Center,ft,pct,0.659400544959128
2008,Guard,3p,attempts,89.6
2008,Guard,3p,makes,27.2
2008,Guard,3p,pct,0.30357142857142855
2008,Guard,fg,attempts,333.4
2008,Guard,fg,makes,135.4
2008,Guard,fg,pct,0.40611877624475107
2008,Guard,ft,attempts,83.8
2008,Guard,ft,makes,63.0
2008,Guard,ft,pct,0.7517899761336515
2008,Guard-Forward,3p,attempts,36.0
2008,Guard-Forward,3p,makes,7.0
2008,Guard-Forward,3p,pct,0.19444444444444445
2008,Guard-Forward,fg,attempts,486.0
2008,Guard-Forward,fg,makes,182.0
2008,Guard-Forward,fg,pct,0.37448559670781895
2008,Guard-Forward,ft,attempts,110.0
2008,Guard-Forward,ft,makes,88.0
2008,Guard-Forward,ft,pct,0.8
2009,Center,3p,attempts,1.5
2009,Center,3p,makes,0.0
2009,Center,3p,pct,0.0
2009,Center,fg,attempts,376.0
2009,Center,fg,makes,204.0
2009,Center,fg,pct,0.5425531914893617
2009,Center,ft,attempts,131.33333333333334
2009,Center,ft,makes,87.0
2009,Center,ft,pct,0.6624365482233503
2009,Center-Forward,fg,attempts,387.0
2009,Center-Forward,fg,makes,191.0
2009,Center-Forward,fg,pct,0.4935400516795866
2009,Center-Forward,ft,attempts,162.0
2009,Center-Forward,ft,makes,107.0
2009,Center-Forward,ft,pct,0.6604938271604939
2009,Forward,3p,attempts,69.0
2009,Forward,3p,makes,25.5
2009,Forward,3p,pct,0.3695652173913043
2009,Forward,fg,attempts,572.75
2009,Forward,fg,makes,257.5
2009,Forward,fg,pct,0.4495853339153208
2009,Forward,ft,attempts,152.25
2009,Forward,ft,makes,116.0
2009,Forward,ft,pct,0.7619047619047619
2009,Forward-Center,3p,attempts,11.666666666666666
2009,Forward-Center,3p,makes,1.3333333333333333
2009,Forward-Center,3p,pct,0.11428571428571428
2009,Forward-Center,fg,attempts,635.6666666666666
2009,Forward-Center,fg,makes,308.0
2009,Forward-Center,fg,pct,0.4845306764551652
2009,Forward-Center,ft,attempts,251.33333333333334
2009,Forward-Center,ft,makes,188.33333333333334
2009,Forward-Center,ft,pct,0.7493368700265252
2009,Guard,3p,attempts,239.42857142857142
2009,Guard,3p,makes,90.14285714285714
2009,Guard,3p,pct,0.376491646778043
2009,Guard,fg,attempts,901.4285714285714
2009,Guard,fg,makes,395.85714285714283
2009,Guard,fg,pct,0.4391442155309033
2009,Guard,ft,attempts,261.2857142857143
2009,Guard,ft,makes,218.0
2009,Guard,ft,pct,0.8343357025697102
2009,Guard-Forward,3p,attempts,188.5
2009,Guard-Forward,3p,makes,70.0
2009,Guard-Forward,3p,pct,0.3713527851458886
2009,Guard-Forward,fg,attempts,468.0
2009,Guard-Forward,fg,makes,202.0
2009,Guard-Forward,fg,pct,0.43162393162393164
2009,Guard-Forward,ft,attempts,59.0
2009,Guard-Forward,ft,makes,44.0
2009,Guard-Forward,ft,pct,0.7457627118644068
2010,Center,fg,attempts,131.0
2010,Center,fg,makes,77.0
2010,Center,fg,pct,0.5877862595419847
2010,Center,ft,attempts,93.0
2010,Center,ft,makes,54.0
2010,Center,ft,pct,0.5806451612903226
2010,Center-Forward,3p,attempts,2.0
2010,Center-Forward,3p,makes,0.0
2010,Center-Forward,3p,pct,0.0
2010,Center-Forward,fg,attempts,495.0
2010,Center-Forward,fg,makes,275.0
2010,Center-Forward,fg,pct,0.5555555555555556
2010,Center-Forward,ft,attempts,161.0
2010,Center-Forward,ft,makes,88.0
2010,Center-Forward,ft,pct,0.546583850931677
2010,Forward,3p,attempts,104.16666666666667
2010,Forward,3p,makes,37.0
2010,Forward,3p,pct,0.3552
2010,Forward,fg,attempts,385.0
2010,Forward,fg,makes,178.0
2010,Forward,fg,pct,0.4623376623376623
2010,Forward,ft,attempts,106.5
2010,Forward,ft,makes,73.0
2010,Forward,ft,pct,0.6854460093896714
2010,Forward-Center,3p,attempts,2.0
2010,Forward-Center,3p,makes,0.0
2010,Forward-Center,3p,pct,0.0
2010,Forward-Center,fg,attempts,201.0
2010,Forward-Center,fg,makes,99.0
2010,Forward-Center,fg,pct,0.4925373134328358
2010,Forward-Center,ft,attempts,68.0
2010,Forward-Center,ft,makes,46.0
2010,Forward-Center,ft,pct,0.6764705882352942
2010,Forward-Guard,3p,attempts,56.0
2010,Forward-Guard,3p,makes,11.0
2010,Forward-Guard,3p,pct,0.19642857142857142
2010,Forward-Guard,fg,attempts,497.0
2010,Forward-Guard,fg,makes,224.0
2010,Forward-Guard,fg,pct,0.4507042253521127
2010,Forward-Guard,ft,attempts,175.0
2010,Forward-Guard,ft,makes,136.0
2010,Forward-Guard,ft,pct,0.7771428571428571
2010,Guard,3p,attempts,164.28571428571428
2010,Guard,3p,makes,61.57142857142857
2010,Guard,3p,pct,0.37478260869565216
2010,Guard,fg,attempts,612.0
2010,Guard,fg,makes,266.2857142857143
2010,Guard,fg,pct,0.4351073762838469
2010,Guard,ft,attempts,158.0
2010,Guard,ft,makes,126.64285714285714
2010,Guard,ft,pct,0.8015370705244123
2010,Guard-Forward,3p,attempts,143.0
2010,Guard-Forward,3p,makes,50.666666666666664
2010,Guard-Forward,3p,pct,0.3543123543123543
2010,Guard-Forward,fg,attempts,682.0
2010,Guard-Forward,fg,makes,304.6666666666667
2010,Guard-Forward,fg,pct,0.4467253176930596
2010,Guard-Forward,ft,attempts,171.66666666666666
2010,Guard-Forward,ft,makes,131.66666666666666
2010,Guard-Forward,ft,pct,0.7669902912621359
2011,Center,3p,attempts,18.0
2011,Center,3p,makes,3.0
2011,Center,3p,pct,0.16666666666666666
2011,Center,fg,attempts,1004.0
2011,Center,fg,makes,432.0
2011,Center,fg,pct,0.4302788844621514
2011,Center,ft,attempts,402.0
2011,Center,ft,makes,276.0
2011,Center,ft,pct,0.6865671641791045
2011,Center-Forward,fg,attempts,297.5
2011,Center-Forward,fg,makes,156.0
2011,Center-Forward,fg,pct,0.5243697478991597
2011,Center-Forward,ft,attempts,96.0
2011,Center-Forward,ft,makes,56.5
2011,Center-Forward,ft,pct,0.5885416666666666
2011,Forward,3p,attempts,64.66666666666667
2011,Forward,3p,makes,21.0
2011,Forward,3p,pct,0.3247422680412371
2011,Forward,fg,attempts,313.75
2011,Forward,fg,makes,146.75
2011,Forward,fg,pct,0.46772908366533866
2011,Forward,ft,attempts,106.75
2011,Forward,ft,makes,71.75
2011,Forward,ft,pct,0.6721311475409836
2011,Forward-Center,3p,attempts,1.0
2011,Forward-Center,3p,makes,0.0
2011,Forward-Center,3p,pct,0.0
2011,Forward-Center,fg,attempts,321.6666666666667
2011,Forward-Center,fg,makes,161.66666666666666
2011,Forward-Center,fg,pct,0.5025906735751295
2011,Forward-Center,ft,attempts,104.66666666666667
2011,Forward-Center,ft,makes,65.0
2011,Forward-Center,ft,pct,0.6210191082802548
2011,Forward-Guard,3p,attempts,153.0
2011,Forward-Guard,3p,makes,52.5
2011,Forward-Guard,3p,pct,0.3431372549019608
2011,Forward-Guard,fg,attempts,421.0
2011,Forward-Guard,fg,makes,168.0
2011,Forward-Guard,fg,pct,0.3990498812351544
2011,Forward-Guard,ft,attempts,72.0
2011,Forward-Guard,ft,makes,48.5
2011,Forward-Guard,ft,pct,0.6736111111111112
2011,Guard,3p,attempts,115.5
2011,Guard,3p,makes,33.0
2011,Guard,3p,pct,0.2857142857142857
2011,Guard,fg,attempts,729.0
2011,Guard,fg,makes,302.0
2011,Guard,fg,pct,0.41426611796982166
