"Player","Regular_Rk","Regular_PTS/G","Regular_From","Regular_To","Regular_Age","Regular_G","Regular_GS","Regular_AS","Regular_MP","Regular_FG","Regular_FGA","Regular_2P","Regular_2PA","Regular_3P","Regular_3PA","Regular_FT","Regular_FTA","Regular_ORB","Regular_DRB","Regular_TRB","Regular_AST","Regular_STL","Regular_BLK","Regular_TOV","Regular_PF","Regular_PTS","Regular_FG%","Regular_2P%","Regular_3P%","Regular_FT%","Regular_TS%","Regular_eFG%","Regular_Pos","Regular_Team","Regular_Player-additional","Postseason_Rk","Postseason_PTS/G","Postseason_G","Postseason_From","Postseason_To","Postseason_Age","Postseason_G_2","Postseason_GS","Postseason_AS","Postseason_MP","Postseason_FG","Postseason_FGA","Postseason_2P","Postseason_2PA","Postseason_3P","Postseason_3PA","Postseason_FT","Postseason_FTA","Postseason_ORB","Postseason_DRB","Postseason_TRB","Postseason_AST","Postseason_STL","Postseason_BLK","Postseason_TOV","Postseason_PF","Postseason_PTS","Postseason_FG%","Postseason_2P%","Postseason_3P%","Postseason_FT%","Postseason_TS%","Postseason_eFG%","Postseason_Pos","Postseason_Player-additional"
"Paul Arizin","37","22.8","1950-51","1961-62","22-33","713","","10","24897","5628","13354","5628","13354","","","5010","6189","","","6129","1665","","","","2764","16266",".421",".421","",".810",".506",".421","F-G","PHW","arizipa01","34","24.2","49","1950-51","1961-62","22-33","49","","8","1815","411","1001","411","1001","","","364","439","","","404","128","","","","177","1186",".411",".411","",".829",".497",".411","F-G","arizipa01"
"Bernard King","41","22.5","1977-78","1992-93","21-36","874","547","4","29417","7830","15109","7807","14975","23","134","3972","5444","1704","3356","5060","2863","866","230","2791","2885","19655",".518",".521",".172",".730",".561",".519","F","GSWNJNNYKUTAWSB","kingbe01","29","24.5","28","1978-79","1992-93","22-36","28","23","1","934","269","481","268","477","1","4","148","203","45","76","121","65","24","6","62","94","687",".559",".562",".250",".729",".602",".560","F","kingbe01"
"Carmelo Anthony","42","22.5","2003-04","2021-22","19-37","1260","1120","10","43514","10119","22643","8388","17770","1731","4873","6320","7764","1983","5825","7808","3422","1223","644","3052","3543","28289",".447",".472",".355",".814",".543",".485","F","DENHOULALNYKOKCPOR","anthoca01","38","23.1","83","2003-04","2020-21","19-36","83","77","5","3092","669","1614","568","1302","101","312","475","575","153","404","557","204","100","29","218","298","1914",".414",".436",".324",".826",".513",".446","F","anthoca01"
"Ja Morant","43","22.4","2019-20","2025-26","20-26","327","325","2","10370","2639","5666","2204","4269","435","1397","1618","2092","296","1217","1513","2428","335","92","1108","555","7331",".466",".516",".311",".773",".557",".504","G","MEM","moranja01","17","26.0","22","2020-21","2024-25","21-25","22","22","2","810","203","456","159","328","44","128","123","164","29","107","136","179","31","7","72","46","573",".445",".485",".344",".750",".542",".493","G","moranja01"
"Nikola Jokić","45","22.2","2015-16","2025-26","20-30","810","769","8","25914","6880","12274","5954","9715","926","2559","3323","4030","2175","6802","8977","6080","1041","589","2419","2168","18009",".561",".613",".362",".825",".641",".598","C-F","DEN","jokicni01","9","27.4","94","2018-19","2024-25","23-29","94","94","7","3601","978","1864","813","1439","165","425","459","556","286","873","1159","712","116","82","311","314","2580",".525",".565",".388",".826",".612",".569","C-F","jokicni01"
"Charles Barkley","46","22.1","1984-85","1999-00","21-36","1073","1012","11","39330","8435","15605","7897","13585","538","2020","6349","8643","4260","8286","12546","4215","1648","888","3376","3287","23757",".541",".581",".266",".735",".612",".558","F","HOUPHIPHO","barklch01","39","23.0","123","1984-85","1998-99","21-35","123","108","9","4849","1009","1965","945","1714","64","251","751","1048","510","1072","1582","482","193","108","353","408","2833",".513",".551",".255",".717",".584",".530","F","barklch01"
"David Thompson","47","22.1","1976-77","1983-84","22-29","509","151","4","16305","4213","8365","4190","8282","23","83","2815","3616","737","1184","1921","1631","459","407","1129","1287","11264",".504",".506",".277",".778",".566",".505","G-F","DENSEA","thompda01","41","22.9","27","1976-77","1982-83","22-28","27","","4","971","249","539","248","536","1","3","120","161","42","73","115","101","24","27","63","83","619",".462",".463",".333",".745",".508",".463","G-F","thompda01"
"Dwyane Wade","49","22.0","2003-04","2018-19","22-37","1054","909","13","35773","8454","17617","7905","15743","549","1874","5708","7463","1258","3675","4933","5701","1620","885","3326","2328","23165",".480",".502",".293",".765",".554",".495","G","CHICLEMIA","wadedw01","48","22.3","177","2003-04","2017-18","22-36","177","172","10","6697","1450","3062","1347","2757","103","305","951","1220","234","694","928","870","273","175","583","467","3954",".474",".489",".338",".780",".549",".490","G","wadedw01"
"Julius Erving","50","22.0","1976-77","1986-87","26-36","836","823","11","28677","7237","14276","7191","14100","46","176","3844","4950","2067","3534","5601","3224","1508","1293","2323","2286","18364",".507",".510",".261",".777",".558",".509","F-G","PHI","ervinju01","54","21.9","141","1976-77","1986-87","26-36","141","30","11","5288","1187","2441","1180","2405","7","36","707","908","360","634","994","594","235","239","396","403","3088",".486",".491",".194",".779",".544",".488","F-G","ervinju01"
"Hakeem Olajuwon","52","21.8","1984-85","2001-02","22-39","1238","1186","12","44222","10749","20991","10724","20867","25","124","5423","7621","4034","9714","13748","3058","2162","3830","3667","4383","26946",".512",".514",".202",".712",".553",".513","C","HOUTOR","olajuha01","18","25.9","145","1984-85","2001-02","22-39","145","140","11","5749","1504","2847","1500","2829","4","18","743","1034","471","1150","1621","458","245","472","424","562","3755",".528",".530",".222",".719",".569",".529","C","olajuha01"
