Rk,Player,PTS/100 Poss.,MP,USG%,TS%,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
57,Ryan Rollins,26.5,2376,24.2,.583,2025-26,23,MIL,74,67,0,3.4,112,118,1.7,1.8,.069,0.7,-0.5,0.2,1.3,16.2,2.6,13.4,8.1,27.1,2.3,1.3,15.5,24.2,G,rolliry01
58,Scottie Barnes,26.3,2649,23.5,.576,2025-26,24,TOR,79,79,1,7.5,115,110,3.2,4.3,.136,1.8,2.2,4.0,4.0,19.0,6.3,19.0,12.6,26.1,2.1,4.1,14.4,23.5,G-F,barnesc01
59,Jrue Holiday,26.3,1528,23.3,.573,2025-26,35,POR,52,50,0,3.5,117,117,2.1,1.4,.110,2.4,-0.5,1.9,1.5,16.4,4.7,12.3,8.4,32.5,1.7,0.3,16.2,23.3,G,holidjr01
60,Jeremiah Fears,26.2,2071,25.3,.524,2025-26,19,NOP,81,48,0,0.5,104,119,-0.8,1.4,.012,-1.6,-1.3,-2.8,-0.4,13.6,2.9,12.3,7.6,19.9,2.2,1.3,14.0,25.3,G,fearsje01
61,Matas Buzelis,26.1,2248,22.8,.586,2025-26,21,CHI,77,77,0,2.6,108,116,0.4,2.2,.056,-0.6,-0.4,-1.0,0.6,14.8,3.7,17.3,10.6,10.4,1.1,4.5,13.0,22.8,F,buzelma01
62,Reed Sheppard,25.7,2121,21.6,.565,2025-26,21,HOU,81,20,0,5.7,117,112,2.7,3.0,.129,1.2,1.5,2.6,2.5,15.6,1.5,10.6,6.1,18.6,2.9,2.3,11.3,21.6,G,sheppre01
63,Andrew Nembhard,25.7,1786,23.6,.564,2025-26,26,IND,57,57,0,2.9,115,121,2.2,0.7,.077,1.1,-1.9,-0.8,0.5,15.7,1.5,8.4,4.9,37.1,1.4,0.4,13.8,23.6,G,nembhan01
64,Ayo Dosunmu,25.6,1881,20.2,.630,2025-26,26,CHIMIN,69,19,0,4.9,124,119,3.5,1.4,.125,1.3,-0.3,1.0,1.4,16.5,2.7,10.7,6.8,19.7,1.5,0.8,10.6,20.2,G,dosunay01
65,Russell Westbrook,25.3,1853,25.9,.528,2025-26,37,SAC,64,58,0,0.4,104,120,-0.6,0.9,.009,0.6,-1.1,-0.4,0.7,15.1,4.7,16.7,10.5,34.3,2.2,0.6,18.5,25.9,G,westbru01
66,Immanuel Quickley,25.2,2215,21.1,.579,2025-26,26,TOR,69,69,0,6.5,121,115,3.9,2.6,.140,1.9,0.5,2.5,2.5,16.6,1.9,12.6,7.2,26.4,2.0,0.2,9.3,21.1,G,quickim01
67,Nikola Vučević,25.2,1818,21.4,.574,2025-26,35,BOSCHI,64,49,0,4.4,118,116,2.5,1.9,.117,1.4,0.1,1.5,1.6,17.7,7.5,23.9,15.8,17.8,1.0,2.0,9.2,21.4,C,vucevni01
68,Isaiah Joe,25.2,1507,18.4,.657,2025-26,26,OKC,71,9,0,5.6,128,111,3.2,2.4,.179,2.0,0.5,2.5,1.7,15.5,2.5,10.2,6.5,8.6,1.6,0.7,7.0,18.4,G,joeis01
69,Dylan Harper,25.1,1540,21.8,.575,2025-26,19,SAS,68,4,0,4.2,117,112,2.0,2.2,.131,0.3,1.1,1.4,1.3,16.2,3.7,12.2,8.1,24.9,1.7,1.4,12.4,21.8,G,harpedy01
70,Cedric Coward,25.0,1598,21.5,.585,2025-26,22,MEM,62,47,0,2.5,114,119,1.5,1.1,.077,0.4,-0.6,-0.2,0.7,15.3,5.5,19.4,12.4,16.0,1.2,1.6,12.7,21.5,F-G,cowarce01
71,Jaime Jaquez Jr.,24.9,2096,22.2,.567,2025-26,24,MIA,74,1,0,4.0,114,117,2.0,1.9,.091,0.1,-0.1,0.0,1.1,15.5,4.7,13.9,9.3,24.0,1.1,0.9,13.3,22.2,G-F,jaqueja01
72,OG Anunoby,24.9,2224,19.7,.620,2025-26,28,NYK,67,67,0,6.3,120,112,3.1,3.2,.135,0.9,1.1,2.0,2.3,15.8,4.3,13.4,8.8,9.2,2.3,2.2,12.0,19.7,F,anunoog01
73,Naz Reid,24.9,2007,22.1,.565,2025-26,26,MIN,77,3,0,4.1,110,111,0.9,3.2,.097,-0.1,1.0,0.9,1.5,15.4,5.0,20.8,13.1,12.4,1.8,3.4,12.0,22.1,F,reidna01
74,Josh Giddey,24.9,1731,24.4,.562,2025-26,23,CHI,54,51,0,3.3,113,116,1.6,1.7,.091,2.3,0.4,2.7,2.0,18.0,4.2,23.1,13.8,41.3,1.5,1.4,19.3,24.4,G,giddejo01
75,Sandro Mamukelashvili,24.9,1733,18.9,.635,2025-26,26,TOR,79,13,0,6.0,126,112,3.5,2.5,.167,2.1,0.7,2.7,2.1,18.1,7.0,18.8,12.8,12.3,1.8,2.3,8.8,18.9,C-F,mamuksa01
76,Tim Hardaway Jr.,24.8,2127,18.6,.624,2025-26,33,DEN,80,6,0,4.4,124,121,3.4,1.0,.100,1.2,-1.9,-0.7,0.7,13.5,0.9,9.5,5.4,7.0,1.0,0.4,4.7,18.6,G,hardati02
77,John Collins,24.6,1851,19.3,.642,2025-26,28,LAC,68,55,0,4.5,120,116,2.7,1.8,.116,0.0,-0.5,-0.5,0.7,16.2,7.0,15.3,11.3,5.8,1.6,2.6,11.6,19.3,F,collijo01
78,Tre Jones,24.6,1733,19.2,.643,2025-26,26,CHI,64,40,0,5.8,131,119,4.7,1.2,.162,1.3,0.2,1.5,1.5,18.8,2.3,9.9,6.2,29.4,2.0,0.6,11.5,19.2,G,jonestr01
79,Derrick White,24.5,2625,22.0,.529,2025-26,31,BOS,77,77,0,7.1,117,113,3.6,3.5,.129,2.2,1.0,3.2,3.5,16.1,3.7,10.4,7.1,22.2,1.7,3.8,10.1,22.0,G,whitede01
80,Amen Thompson,24.4,2953,20.1,.594,2025-26,23,HOU,79,79,0,10.2,125,114,6.5,3.7,.166,1.6,1.0,2.6,3.4,18.9,9.0,14.1,11.5,20.5,2.0,1.5,13.5,20.1,G-F,thompam01
81,Kyle Kuzma,24.4,1806,21.8,.581,2025-26,30,MIL,69,43,0,1.9,111,120,0.9,1.0,.051,-1.0,-1.3,-2.3,-0.1,14.1,3.6,15.9,9.8,15.5,1.3,1.5,13.4,21.8,F,kuzmaky01
82,Naji Marshall,24.4,2184,20.6,.592,2025-26,28,DAL,74,47,0,4.3,116,117,2.5,1.8,.094,-0.8,0.1,-0.6,0.8,15.4,3.2,13.6,8.4,16.5,1.8,0.2,11.1,20.6,F,marshna01
83,Peyton Watson,24.1,1598,20.6,.594,2025-26,23,DEN,54,40,0,2.6,112,116,1.0,1.6,.077,-0.8,-0.5,-1.3,0.3,14.3,3.6,14.4,9.3,9.7,1.5,3.6,12.3,20.6,G-F,watsope01
