Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
48,Dylan Harper,34.4,32.6,29,29.0,.587,2024-25,Rutgers,29,28,3.9,118,110,3.0,0.9,.166,7.0,2.1,9.2,24.6,2.6,13.5,8.0,27.1,2.6,1.9,12.7,29.0,G,FR,dylan-harper-1
49,Roman Domon,34.3,21.1,22,25.3,.688,2025-26,Murray State,22,0,2.6,131,105,1.8,0.8,.220,6.7,1.4,8.0,25.4,5.8,18.3,12.2,11.4,2.5,0.7,15.2,25.3,F,FR,roman-domon-1
50,Kingston Flemings,34.3,31.2,20,26.1,.616,2025-26,Houston,20,20,4.2,131,95,2.6,1.6,.271,7.9,6.5,14.4,27.1,1.6,11.1,6.2,34.8,3.7,1.5,11.8,26.1,G,FR,kingston-flemings-1
51,C.J. McCollum,34.3,31.9,33,28.4,.593,2009-10,Lehigh,33,31,5.4,119,101,4.0,1.4,.205,,,,25.8,5.1,12.3,8.8,17.1,2.3,0.7,11.0,28.4,G,FR,cj-mccollum-1
52,Jalen Haralson,34.2,26.6,20,32.5,.533,2025-26,Notre Dame,20,18,1.4,106,111,0.8,0.6,.104,3.1,0.8,3.9,18.2,6.2,9.9,8.0,22.4,1.0,1.5,15.6,32.5,G,FR,jalen-haralson-1
53,Myles Taylor,34.0,24.4,28,29.0,.564,2011-12,UT Martin,28,27,2.4,113,111,2.2,0.2,.139,2.3,-2.4,-0.1,24.7,9.9,18.7,13.7,8.7,1.8,3.2,12.1,29.0,F,FR,myles-taylor-1
54,Rashad Vaughn,33.9,32.3,23,30.8,.547,2014-15,UNLV,23,23,2.5,104,100,1.4,1.1,.132,4.5,0.1,4.5,20.2,2.3,13.7,8.4,11.8,1.5,1.1,11.8,30.8,G,FR,rashad-vaughn-1
55,Markus Howard,33.9,22.0,31,26.7,.686,2016-17,Marquette,31,27,2.9,120,109,2.4,0.5,.169,7.9,0.0,7.9,23.1,1.6,10.3,6.1,19.9,2.1,0.3,17.4,26.7,G,FR,markus-howard-1
56,Matt Morgan,33.9,30.7,27,30.0,.560,2015-16,Cornell,27,26,2.7,110,109,2.1,0.6,.132,4.6,-1.3,3.3,22.5,1.4,9.7,5.5,14.9,2.5,1.2,10.2,30.0,G,FR,matt-morgan-1
57,Darius Garland,33.8,27.8,5,27.9,.657,2018-19,Vanderbilt,5,5,0.5,112,106,0.4,0.1,.148,3.8,1.1,4.9,23.6,1.6,13.7,7.7,25.7,1.7,1.5,19.6,27.9,G,FR,darius-garland-1
58,Jared Sullinger,33.8,31.7,37,27.0,.591,2010-11,Ohio State,37,36,8.3,126,90,5.4,2.9,.283,7.1,2.4,9.5,30.3,14.1,26.0,20.1,7.4,2.0,2.0,9.9,27.0,F,FR,jared-sullinger-1
59,Tre Johnson,33.6,34.7,33,29.1,.557,2024-25,Texas,33,33,4.2,115,110,3.0,1.1,.145,6.5,1.2,7.7,19.7,1.1,9.0,5.2,16.5,1.6,1.0,9.2,29.1,G,FR,tre-johnson-2
60,Isaiah Johnson,33.5,28.2,21,23.7,.669,2025-26,Colorado,21,4,3.0,141,117,2.7,0.3,.206,8.2,0.7,8.9,24.6,4.4,6.7,5.6,15.4,2.1,0.0,7.5,23.7,G,FR,isaiah-johnson-3
61,Jamal Murray,33.4,35.2,36,27.3,.590,2015-16,Kentucky,36,36,6.1,120,103,4.4,1.7,.193,8.1,1.4,9.5,22.7,4.9,11.2,8.2,12.1,1.6,0.9,12.1,27.3,G,FR,jamal-murray-1
62,Shabazz Muhammad,33.3,30.8,32,29.8,.528,2012-13,UCLA,32,30,3.7,110,105,2.9,0.8,.149,5.8,-1.1,4.7,21.9,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,G,FR,shabazz-muhammad-1
63,Darius Acuff Jr.,33.3,33.3,21,26.8,.607,2025-26,Arkansas,21,21,3.5,129,113,2.8,0.7,.198,8.8,1.1,9.9,23.6,1.5,8.0,4.9,33.7,1.4,1.6,10.9,26.8,G,FR,darius-acuff-jr-1
64,Malik Monk,33.3,32.1,38,27.2,.586,2016-17,Kentucky,38,37,5.8,118,101,3.9,1.9,.189,6.5,2.5,9.0,21.5,1.1,7.3,4.2,13.3,1.6,1.5,10.4,27.2,G,FR,malik-monk-1
65,Tyler Hall,33.2,32.0,31,26.3,.596,2015-16,Montana State,31,31,3.9,120,111,3.3,0.6,.156,5.6,-1.5,4.1,22.8,2.7,16.3,9.1,11.1,1.6,0.9,10.4,26.3,G,FR,tyler-hall-2
66,Sharife Cooper,33.2,33.1,12,33.1,.519,2020-21,Auburn,12,12,1.7,111,107,1.4,0.3,.174,4.7,-0.4,4.3,22.9,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,G,FR,sharife-cooper-1
67,Tre Mitchell,33.2,30.8,31,31.9,.556,2019-20,Massachusetts,31,31,3.0,100,99,1.6,1.4,.126,3.4,0.9,4.3,22.2,5.5,22.2,13.7,15.6,1.9,3.5,17.0,31.9,C,FR,tre-mitchell-1
68,Sam Finley,33.1,22.3,30,31.0,.527,2013-14,UC Riverside,30,8,1.6,103,109,1.0,0.6,.095,0.6,-2.1,-1.5,17.4,1.4,9.8,5.6,8.2,1.6,0.9,12.1,31.0,G,FR,sam-finley-1
69,Nate Calmese,33.1,31.5,31,28.2,.579,2022-23,Lamar,31,31,2.7,111,113,2.3,0.4,.112,3.1,-3.0,0.1,20.3,2.6,6.5,4.5,15.9,2.2,1.0,13.5,28.2,G,FR,nate-calmese-1
70,Jabari Smith,33.0,28.8,34,27.6,.570,2021-22,Auburn,34,34,5.6,117,91,3.2,2.3,.227,7.4,3.8,11.1,25.1,3.5,23.5,13.6,14.0,2.1,3.8,11.1,27.6,F,FR,jabari-smith-2
71,Chris Clemons,32.9,32.2,30,29.1,.566,2015-16,Campbell,30,29,3.3,109,105,2.2,1.1,.139,2.3,-2.2,0.1,21.4,1.2,12.1,6.7,13.2,2.7,0.9,10.4,29.1,G,FR,chris-clemons-2
72,Keaton Wagler,32.9,32.0,21,23.4,.649,2025-26,Illinois,21,21,4.6,145,107,3.6,1.0,.273,10.0,3.2,13.3,25.9,7.1,10.0,8.6,23.6,1.4,0.8,9.8,23.4,G,FR,keaton-wagler-1
73,Obi Toppin,32.9,26.5,33,25.1,.692,2018-19,Dayton,33,15,4.8,123,98,3.2,1.6,.221,6.2,2.5,8.7,27.9,7.7,17.2,12.9,15.7,1.5,3.7,15.5,25.1,F,FR,obadiah-toppin-1
74,Michael Weathers,32.9,28.3,32,35.7,.524,2016-17,Miami (OH),32,28,2.3,96,99,0.8,1.6,.103,0.7,1.8,2.4,22.2,2.8,13.6,8.2,41.3,3.7,6.0,22.3,35.7,G,FR,michael-weathers-1
75,Cody Zeller,32.8,28.5,36,24.3,.665,2011-12,Indiana,36,36,6.8,132,96,5.1,1.8,.267,8.2,3.5,11.7,31.3,11.3,18.4,14.9,9.5,2.9,4.3,12.4,24.3,F,FR,cody-zeller-1
76,B.J. Tyson,32.8,24.2,33,29.8,.539,2014-15,East Carolina,33,0,2.8,108,106,2.0,0.8,.139,3.7,-1.5,2.2,21.9,6.7,12.9,9.7,14.9,2.1,0.4,11.7,29.8,G,FR,bj-tyson-1
77,T.J. Weeks Jr.,32.7,26.0,10,26.6,.592,2019-20,Massachusetts,10,2,1.1,114,99,0.7,0.4,.174,7.2,1.8,9.0,24.1,3.1,14.3,8.6,5.4,4.0,1.2,8.1,26.6,G,FR,tj-weeks-1
78,Alec Burks,32.6,30.2,30,27.1,.622,2009-10,Colorado,30,30,4.2,121,108,3.6,0.6,.186,,,,25.8,8.3,12.2,10.3,13.6,2.2,1.4,12.3,27.1,G,FR,alec-burks-1
